,Gen,Animal,Label,Mark,Mating,Gender,Genotypes,Vendor,Father.Id,Mother.Id,sex
1,NA,1417,,EPL,12,male,unsp,unspecified,35,37,1
2,NA,1307,,,18,female,unsp,unspecified,59,61,2
3,NA,35,1786,,N/A,male,unsp,Colony,,,1
4,NA,59,2410,,N/A,male,unsp,Colony,,,1
5,NA,37,2315,,N/A,female,unsp,Colony,,,2
6,NA,61,2404,,N/A,female,unsp,Colony,,,2
7,NA,c5m,,,138,male,,,7862,7896,1
8,NA,c5f,,,135,female,,,7858,7888,2
9,NA,c3m,,,h3,male,,,h3m,h3f,1
10,NA,c3f,,,c5,female,,,c5m,c5f,2
11,NA,c3b,,,c1,female,,,c3m,c3f,2
12,NA,c1m,,,h3,male,,,h3m,h3f,1
13,NA,c1f,,,c5,female,,,c5m,c5f,2
14,NA,c1b,,,c1,female,,,c1m,c1f,2
15,NA,1848,,EPL,26,male,unsp,unspecified,179,169,1
16,NA,1899,,,N/A,female,unsp,Colony,,,2
17,NA,179,4301,,N/A,male,unsp,Colony,,,1
18,NA,169,4232,,N/A,female,unsp,Colony,,,2
19,1,2344,,,,male,,,1848,1899,1
20,1,2179,,,,female,,,171,161,2
21,2,b14m,,,bp2,male,,,2344,2179,1
22,2,b14f,,,bp4,female,,,2376,2390,2
23,2,b23m,,,,male,,,,,1
24,2,b23f,,,,female,,,,,2
25,NA,h3m,,,b23,male,,,b23m,b23f,1
26,NA,h3f,,,b14,female,,,b14m,b14f,2
27,NA,1373,,EPR,25,male,unsp,unspecified,177,167,1
28,NA,832,,EPL,24,female,unsp,unspecified,175,165,2
29,NA,175,4238,,N/A,male,unsp,Colony,,,1
30,NA,177,4241,,N/A,male,unsp,Colony,,,1
31,NA,165,3971,,N/A,female,unsp,Colony,,,2
32,NA,167,4216,,N/A,female,unsp,Colony,,,2
37,NA,2345,,,55,male,,,1848,1899,1
38,NA,2391,,,49,female,,,1373,832,2
45,NA,1823,,,16,male,unsp,unspecified,51,53,1
46,NA,812,,,21,female,unsp,unspecified,171,161,2
47,NA,51,1974,,,male,unsp,Colony,,,1
48,NA,171,4239,,,male,unsp,Colony,,,1
49,NA,53,2318,,,female,unsp,Colony,,,2
50,NA,161,3970,,,female,unsp,Colony,,,2
51,NA,47,,,,female,,,,,2
52,NA,49,,,,male,,,,,1
55,NA,2376,,,53,male,,,1823,812,1
56,NA,2390,,,49,female,,,1373,832,2
57,NA,1399,,,15,male,,,49,47,1
58,NA,1419,,,12,female,,,35,37,2
59,NA,kb9f,,,,female,,,,,2
60,NA,kb9m,,,,male,,,,,1
61,NA,b21m,,,bp3,male,,,2345,2391,1
62,NA,5329,,,85,female,,,1417,1307,2
63,NA,b16m,,,81,male,,,1399,1419,1
64,NA,b16f,,,b4,female,,,2376,2390,2
65,NA,t2bb,,,t1b,female,,,t2bm,t2bf,2
66,NA,t2bm,,,t1a,male,,,t1am,t1af,1
67,1,t2bf,,,t2a,female,,,t2am,t2af,2
68,1,t1am,,,139,male,,,8332,8285,1
69,2,t1af,,,141,female,,,8531,8491,2
70,2,t2am,,,139,male,,,8332,8285,1
71,2,t2af,,,130,female,,,7692,7621,2
72,2,t1bb,,,t1b,female,,,t1bm,t1bf,2
73,3,t1bm,,,t1a,male,,,t1am,t1af,1
74,3,t1bf,,,t2a,female,,,t2am,t2af,2
75,3,b3b2,,,b3,male,,,b3m,b3f,1
76,3,153f,,,152,female,,,152m,152f,2
77,NA,153m,,,150,male,,,150m,150f,1
78,3,153b,,,153,male,,,153m,153f,1
79,3,150b,,,150,male,,,150m,150f,1
80,3,150f,,,b3,female,,,b3m,b3f,2
81,3,150m,,,h2,male,,,h2m,h2f,1
82,4,147b,,,,female,,,147m,147f,2
83,4,h3b,,,h3,male,,,h3m,h3f,1
84,4,h2f,,,,female,,,b16m,b16f,2
85,4,h2m,,,,male,,,b21m,5329,1
86,4,147m,,,h2,male,,,h2m,h2f,1
87,4,147f,,,139,female,,,8332,8285,2
88,4,152b,,,152,female,,,152m,152f,2
89,4,152f,,,149,female,,,149m,149f,2
90,4,152m,,,b3,male,,,b3m,b3f,1
91,4,151b,,,151,male,,,151m,151f,1
92,4,151m,,,b1,male,,,b1m,b1f,1
93,4,151f,,,136,female,,,136m,7896,2
94,4,7464,,,121,male,unsp,unspecified,6616,6624,1
95,4,7470,,,100,female,unsp,unspecified,3415,3316,2
96,4,3415,,EPL,71,male,unsp,unspecified,1431,1407,1
97,4,6616,,,116,male,unsp,unspecified,6243,6317,1
98,5,3316,,,75,female,unsp,unspecified,1497,1161,2
99,5,6624,,,100,female,unsp,unspecified,3415,3316,2
100,5,1431,,EPL,26,male,unsp,unspecified,179,169,1
101,5,1497,,,10,male,unsp,unspecified,27,29,1
103,5,6243,,,49,male,unsp,unspecified,1373,832,1
104,5,1161,,,20,female,unsp,unspecified,67,69,2
105,5,1407,,,16,female,unsp,unspecified,51,53,2
107,5,6317,,,95,female,unsp,unspecified,3382,3301,2
108,5,27,1793,,N/A,male,unsp,Colony,,,1
110,5,67,2451,,N/A,male,unsp,Colony,,,1
115,6,3382,,,76,male,unsp,unspecified,1525,1349,1
116,6,29,1994,,N/A,female,unsp,Colony,,,2
118,6,69,1991,,N/A,female,unsp,Colony,,,2
123,NA,3301,,EPL,48,female,unsp,unspecified,1361,837,2
130,3,1361,,,14,male,unsp,unspecified,43,45,1
131,3,1525,,,20,male,unsp,unspecified,67,69,1
138,4,837,EPR,,15,female,unsp,unspecified,49,47,2
139,4,1349,,,13,female,unsp,unspecified,41,39,2
140,4,41,2437,,N/A,male,unsp,Colony,,,1
141,4,43,1850,,N/A,male,unsp,Colony,,,1
144,4,39,2406,,N/A,female,unsp,Colony,,,2
145,4,45,1941,,N/A,female,unsp,Colony,,,2
148,NA,7862,,,129,male,,,7464,7470,1
149,NA,7896,,,104,female,,,6308,6317,2
150,NA,6308,,EPL,77,male,unsp,unspecified,1524,1341,1
152,NA,1524,,,20,male,unsp,unspecified,67,69,1
154,1,1341,,EPL,8,female,unsp,unspecified,21,19,2
156,2,21,1112,,N/A,male,unsp,Colony,,,1
160,3,19,1063,,N/A,female,unsp,Colony,,,2
172,4,b3b,,,b3b,male,,,b3m,b3f,1
173,4,b3f,,,136,female,,,136m,7896,2
174,4,b3m,,,138,male,,,7862,7896,1
175,4,b2m,,,130,male,,,7692,7621,1
176,4,b2b,,,b2,female,,,b2m,b2f,2
177,4,7692,,,115,male,,,6256,6318,1
178,4,7621,,,120,female,,,6653,6613,2
179,4,6653,,,104,male,unsp,unspecified,6308,6317,1
180,4,6613,,EPL,111,female,unsp,unspecified,6237,6312,2
181,4,6237,,EPL,71,male,unsp,unspecified,1431,1407,1
183,5,6312,,,97,female,unsp,unspecified,3419,3253,2
188,5,3419,,EPL,82,male,unsp,unspecified,1427,1408,1
191,5,3253,,,63,female,unsp,unspecified,1415,1368,2
198,5,1415,,,23,male,unsp,unspecified,173,163,1
199,1,1427,,,18,male,unsp,unspecified,59,61,1
207,3,1368,,,25,female,unsp,unspecified,177,167,2
208,3,1408,,,16,female,unsp,unspecified,51,53,2
215,4,173,4246,,N/A,male,unsp,Colony,,,1
223,NA,163,4233,,N/A,female,unsp,Colony,,,2
225,NA,6256,,,77,male,unsp,unspecified,1524,1341,1
226,NA,6318,,,95,female,unsp,unspecified,3382,3301,2
247,4,b2f,,,139,female,,,8332,8285,2
248,4,b1b,,,b1,male,,,b1m,b1f,1
249,4,b1f,,,141,female,,,8531,8491,2
250,4,b1m,,,139,male,,,8332,8285,1
251,4,143b,,,143,female,,,143m,143f,2
252,4,148b,,,148,female,,,148m,148f,2
253,5,148f,,,137,female,,,7859,7695,2
254,5,148m,,,131,male,,,7684,7631,1
255,5,7684,,,,male,,,6619,6626,1
256,5,7631,,,,female,,,6609,6605,2
257,5,6609,,,115,male,unsp,unspecified,6256,6318,1
258,5,6605,,,113,female,unsp,unspecified,6252,6319,2
259,5,6252,,EPL,76,male,unsp,unspecified,1525,1349,1
262,1,6319,,,95,female,unsp,unspecified,3382,3301,2
287,4,6619,,,117,male,unsp,unspecified,6244,6293,1
288,4,6626,,EPL,100,female,unsp,unspecified,3415,3316,2
290,NA,6244,,,49,male,unsp,unspecified,1373,832,1
292,NA,6293,,,63,female,unsp,unspecified,1415,1368,2
315,4,139b,,,139,female,,,8332,8285,2
316,4,149b,,,149,male,,,149m,149f,1
317,4,149m,,,136,male,,,136m,7896,1
318,4,149f,,,139,female,,,8332,8285,2
319,1,143m,,,139,male,,,8332,8285,1
320,1,143f,,,141,female,,,8531,8491,2
321,2,8491,,,112,female,,,6255,6304,2
322,2,8531,,,137,male,,,7859,7695,1
323,2,6255,,,77,male,unsp,unspecified,1524,1341,1
324,2,6304,,,96,female,unsp,unspecified,3067,3325,2
326,3,3067,,,84,male,unsp,unspecified,1547,1308,1
328,3,3325,,EPL,64,female,unsp,unspecified,1404,1363,2
331,3,1404,,EPL,16,male,unsp,unspecified,51,53,1
332,3,1547,,,23,male,unsp,unspecified,173,163,1
335,4,1308,,,18,female,unsp,unspecified,59,61,2
336,4,1363,,EPL,14,female,unsp,unspecified,43,45,2
345,5,7859,,,111,male,unsp,unspecified,6237,6312,1
346,5,7695,,,124,female,unsp,unspecified,6590,6595,2
348,5,6590,,EPL,103,male,unsp,unspecified,6294,6350,1
350,5,6595,,,99,female,unsp,unspecified,3405,3254,2
352,5,3405,,,81,male,unsp,unspecified,1399,1419,1
354,5,6294,,,63,male,unsp,unspecified,1415,1368,1
357,5,3254,,,63,female,unsp,unspecified,1415,1368,2
358,5,6350,,,99,female,unsp,unspecified,3405,3254,2
395,4,8332,,,135,male,,,7858,7888,1
396,4,7858,,EPL,115,male,unsp,unspecified,6256,6318,1
397,4,7888,,EPL,128,female,unsp,unspecified,7500,7471,2
399,4,7500,,,104,male,unsp,unspecified,6308,6317,1
401,5,7471,,,100,female,unsp,unspecified,3415,3316,2
454,4,8285,,,136,female,,,136m,7896,2
456,4,136m,dad,,129,male,,,7464,7470,1
